Domain Name,TLD,Create Date,Expiration Date,Auto-renew,Lock,Status,Renewal Price,Privacy,Category,Estimated Value,365-Day Total Searches,Nameservers
alinapoplianski.ca,.CA,2026-03-26,2027-03-26,On,Locked,Active,CA$ 21.99,Off,Idle,CA$ 0.00,0,ns37.domaincontrol.com ns38.domaincontrol.com
alinapoplianski.com,.COM,2026-03-26,2027-03-26,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 1.00,1,ns67.domaincontrol.com ns68.domaincontrol.com
amazingindia.app,.APP,2025-09-06,2026-09-06,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 70.00,0,ns63.domaincontrol.com ns64.domaincontrol.com
amitavmisra.com,.COM,2022-12-03,2026-12-03,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 5.00,0,ns65.domaincontrol.com ns66.domaincontrol.com
anujmisra.com,.COM,2022-12-03,2026-12-03,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 16.00,0,ns73.domaincontrol.com ns74.domaincontrol.com
APERTUREAPPS.COM,.COM,2011-11-15,2026-11-15,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,334.00",1,NS29.DOMAINCONTROL.COM NS30.DOMAINCONTROL.COM
APPLIAISON.COM,.COM,2011-12-26,2026-12-26,Off,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,889.00",0,NS53.DOMAINCONTROL.COM NS54.DOMAINCONTROL.COM
APPSTHEBOOK.COM,.COM,2011-10-18,2026-10-18,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,274.00",0,DNS1.SUPREMEDNS.COM DNS2.SUPREMEDNS.COM
artniche.store,.STORE,2025-10-28,2026-10-28,On,Locked,Active,CA$ 119.22,On,Popular,CA$ 21.00,3,ns43.domaincontrol.com ns44.domaincontrol.com
ARUNABHDAS.COM,.COM,2008-10-06,2026-10-06,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 363.00,0,NS29.DOMAINCONTROL.COM NS30.DOMAINCONTROL.COM
arunabhdas.dev,.DEV,2025-11-23,2026-11-23,On,Locked,Active,CA$ 34.05,On,Popular,CA$ 4.00,3,ns11.domaincontrol.com ns12.domaincontrol.com
audreynesbitt.com,.COM,2018-10-20,2026-10-20,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 999.00,0,ns27.domaincontrol.com ns28.domaincontrol.com
autostoreapp.com,.COM,2019-01-07,2027-01-07,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,144.00",0,ns09.domaincontrol.com ns10.domaincontrol.com
beigebook.app,.APP,2026-02-18,2027-02-18,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 10.00,0,ns09.domaincontrol.com ns10.domaincontrol.com
betzapp.app,.APP,2022-10-28,2026-10-28,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 37.00,0,ns63.domaincontrol.com ns64.domaincontrol.com
bracketzapp.com,.COM,2022-10-27,2026-10-27,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 44.00,0,ns63.domaincontrol.com ns64.domaincontrol.com
brucecates.com,.COM,2023-04-27,2027-04-27,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 34.00,0,ns69.domaincontrol.com ns70.domaincontrol.com
calcutta.pro,.PRO,2025-05-18,2027-05-18,On,Locked,Active,CA$ 59.60,On,Popular,CA$ 371.00,0,ns45.domaincontrol.com ns46.domaincontrol.com
calcuttaapp.com,.COM,2025-05-17,2027-05-17,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 40.00,1,ns01.domaincontrol.com ns02.domaincontrol.com
catchalittlefire.com,.COM,2026-01-05,2027-01-05,On,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,251.00",0,ns25.domaincontrol.com ns26.domaincontrol.com
cates.foundation,.FOUNDATION,2023-04-27,2026-04-27,Off,Locked,Deleted - Redeemable,,On,Popular,CA$ 689.00,0,ns47.domaincontrol.com ns48.domaincontrol.com
chatoffside.com,.COM,2023-02-09,2027-02-09,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 79.00,0,ns27.domaincontrol.com ns28.domaincontrol.com
cloudcnctr.ai,.AI,2022-07-14,2026-07-14,Off,Locked,Active,CA$ 454.19,On,Idle,CA$ 3.00,0,ns35.domaincontrol.com ns36.domaincontrol.com
codecomplete.app,.APP,2026-03-10,2027-03-10,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 180.00,0,ns65.domaincontrol.com ns66.domaincontrol.com
codecompleteguide.com,.COM,2022-10-17,2026-10-17,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 32.00,0,ns13.domaincontrol.com ns14.domaincontrol.com
codelabspro.com,.COM,2022-09-14,2026-09-14,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 28.00,0,ns63.domaincontrol.com ns64.domaincontrol.com
cognito.school,.SCHOOL,2026-02-25,2027-02-25,On,Locked,Active,CA$ 79.47,On,Popular,CA$ 250.00,0,ns05.domaincontrol.com ns06.domaincontrol.com
cognitoschool.com,.COM,2026-02-25,2027-02-25,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 37.00,0,ns67.domaincontrol.com ns68.domaincontrol.com
contently.app,.APP,2022-08-07,2026-08-07,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 247.00,10,ns11.domaincontrol.com ns12.domaincontrol.com
convoyapp.app,.APP,2022-01-28,2027-01-28,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 36.00,0,ns27.domaincontrol.com ns28.domaincontrol.com
crm6ix.com,.COM,2026-02-02,2027-02-02,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 54.00,0,ns49.domaincontrol.com ns50.domaincontrol.com
crunchstack.app,.APP,2026-06-03,2027-06-03,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 22.00,0,ns55.domaincontrol.com ns56.domaincontrol.com
dailypodcast.app,.APP,2025-10-16,2026-10-16,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 44.00,1,ns13.domaincontrol.com ns14.domaincontrol.com
dariavlasenko.com,.COM,2024-10-22,2026-10-22,Off,Locked,Active,CA$ 32.99,On,Popular,CA$ 16.00,2,ns49.domaincontrol.com ns50.domaincontrol.com
dashboardlaunchpad.com,.COM,2018-10-04,2026-10-04,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,136.00",0,ns71.domaincontrol.com ns72.domaincontrol.com
dasmachinelabs.com,.COM,2019-01-13,2027-01-13,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 745.00,0,ns51.domaincontrol.com ns52.domaincontrol.com
deeplegal.app,.APP,2025-02-06,2027-02-06,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 41.00,0,ns37.domaincontrol.com ns38.domaincontrol.com
dematx.app,.APP,2025-08-09,2026-08-09,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 4.00,0,ns73.domaincontrol.com ns74.domaincontrol.com
dematx.com,.COM,2025-08-09,2026-08-09,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 138.00,0,ns73.domaincontrol.com ns74.domaincontrol.com
deuceapp.app,.APP,2025-08-26,2026-08-26,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 26.00,3,ns21.domaincontrol.com ns22.domaincontrol.com
DEVILSMARTINI.CA,.CA,2014-07-08,2026-07-08,Off,Locked,Active,CA$ 21.99,Off,Idle,CA$ 25.00,0,ns45.domaincontrol.com ns46.domaincontrol.com
dillonmisra.com,.COM,2023-02-28,2027-02-28,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 10.00,0,ns47.domaincontrol.com ns48.domaincontrol.com
eliteplusone.app,.APP,2026-06-01,2027-06-01,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 2.00,1,ns47.domaincontrol.com ns48.domaincontrol.com
elysiumpro.app,.APP,2025-12-19,2026-12-19,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 40.00,0,ns33.domaincontrol.com ns34.domaincontrol.com
elysiumpro.club,.CLUB,2025-12-19,2026-12-19,On,Locked,Active,CA$ 39.99,On,Idle,CA$ 23.00,0,ns31.domaincontrol.com ns32.domaincontrol.com
enricocarlucci.com,.COM,2024-09-20,2026-09-20,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 11.00,0,ns09.domaincontrol.com ns10.domaincontrol.com
eurostack.app,.APP,2025-05-12,2027-05-12,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 38.00,0,ns29.domaincontrol.com ns30.domaincontrol.com
eurostack.ca,.CA,2025-05-12,2027-05-12,On,Locked,Active,CA$ 21.99,Off,Popular,CA$ 313.00,0,ns69.domaincontrol.com ns70.domaincontrol.com
fashiondistrict.app,.APP,2025-02-27,2027-02-27,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 138.00,0,ns15.domaincontrol.com ns16.domaincontrol.com
fintechpro.app,.APP,2025-12-28,2026-12-28,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 38.00,0,ns07.domaincontrol.com ns08.domaincontrol.com
